id	output
"bafkreiaqmokckim47w65a7sxqg5twypilq3gio5upsbrsavkehm5nzspue"	{"roof_date": null}
"bafkreigkzbhbr44qvmivsu6zihlxvfyng4rc37srajb7dw7mug3loarphy"	{"roof_date": null}
"bafkreih45s7swr6n33utewyfnt2xyn5n654shxernejfs3sypdbyrcbwba"	{"roof_date": null}
"bafkreicswg7pzgj7sr43gotoxistlcttx7hremo75bvjug5ursgvnppwse"	{"roof_date": null}
"bafkreihdoyzdmigbtywvuw2veez2n5bfr3cudzj7uvg5p6jw6vyr3wdcqa"	{"roof_date": null}
"bafkreifnc3ay4op44i4hwhqpdsehgkgf7qubyr7fb6oeqbwbxxvh3ihc2m"	{"roof_date": null}
"bafkreihyu7xj42ncuoj5qjgeckz76vpjnbwro2gpkg7sdgu5kn473g47tq"	{"roof_date": null}
"bafkreibodpd6rly7fhdopqhhldevr3xd34vpjiebsvwohfprbsm6cedaq4"	{"roof_date": null}
"bafkreibqjqx26ws7td2lnys2aoxfaotbtux2fvtuqgbtg5ebaty5rmcxty"	{"roof_date": null}
"bafkreibaux5vbqqcjursi7ccp2y2vx3agkxjuqo4uwfberqwnffthzazpu"	{"roof_date": null}
"bafkreicp4ggzstxyqk725dzjzt5iqwib2r7p2stjkmxucfe2wvqmh7qsh4"	{"roof_date": null}
"bafkreiavpga6bcbaabae2qdsdxxllb57v2fylvno5ht2qls7crctejyupe"	{"roof_date": null}
"bafkreifmdhmcr3u2xa6oips226krkebnkewbn6pt2exkgporrhggj3rpqu"	{"roof_date": null}
"bafkreib7b4pbu5wmazjascgbvgfelerlymic5alf4la4rtnexdx57cawty"	{"roof_date": null}
"bafkreih7zlpqcwxang4oukwq6mtgw4lsc4ck323ydignamfxv2lpxi2ko4"	{"roof_date": null}
"bafkreihr3nhcc2nxj7jo4hprxkxplia5h252zuddv7hjiqscpmrlhetbg4"	{"roof_date": null}
"bafkreigfu2ukvdfqmgtjawsoajpxulhr2plwq2koajbyyjnln766d6syhu"	{"roof_date": null}
"bafkreigj4ir4snnyowbiknjzu4zbu4u4qu7zgzfjamkrmd7ruwmjput6iu"	{"roof_date": null}
"bafkreihllyqwabbx3zpn5ke74cn4igdbzemtgivkiqyfvdgll7euqlcje4"	{"roof_date": null}
"bafkreidlpgbn74yhzjixsmx2wthl3bedyvafwtyotouh4q4r5jy3bzhwxy"	{"roof_date": null}
"bafkreiaj7w6xe4nlzqw3yjdpsxaovsx6kxanybzm3shs4fab5rpiwh5cpu"	{"roof_date": null}
"bafkreibhfq6xx6ur7se3wjsscncd4yxmwu3v6kdaoz74ggwznwdpeyhkrq"	{"roof_date": null}
"bafkreidd5kaszdobg75qy3bud4ij2gu5m5qist5sieticy5xduzcqczbw4"	{"roof_date": null}
"bafkreidg5metiwioz25j3oqdxvqlse7tvqbj36ciudjrrradxsyhiy3uly"	{"roof_date": null}
"bafkreietuhrrliiyphorkzr7434s3sxoilfznepbaqjax6fwcfdyso3hei"	{"roof_date": null}
"bafkreiemnxeoso7ccxlqncv4kstqeb6e7k3dnzcthhz4sshgpon6ack42y"	{"roof_date": null}
"bafkreihsy3esbpeki2tucojxudzv2uwxrr5hstjhmq3pe6sr6wtrrjytwa"	{"roof_date": null}
"bafkreihdjvjwknjwe3fvwvg32so6t7wh6nt4fdqhprp3y6xktdmcmmsl2e"	{"roof_date": null}
"bafkreie2ykpd5mssy2ysirzcah5nr6lz72gqlnjk5h235j73j6ovsv7pqa"	{"roof_date": null}
"bafkreialscbjw37qmgp4fyotb3qlffb7elgow36doxhlvowxahliutq76m"	{"roof_date": null}
"bafkreigbshbenc5wpas7g6khhprz4pidszoej4rvpxyc674xcmtsr4ctdu"	{"roof_date": null}
"bafkreiaz3b5heklzzqw5bsc26ojd5rk33zktsa5t2klnkujkkvbhoj2b7m"	{"roof_date": null}
"bafkreidiwmd5hqegmxxra5ruzr3yf5s4d6bsvivsmtka5vc4ipop6bn3pq"	{"roof_date": null}
"bafkreie743zzy6hhqri3krlapqcmpqiticeenwocujinj7wkd3amudgxyy"	{"roof_date": null}
"bafkreih5dsf3f724uzsqg2oallzzse5ouqrnu2j5kdh7k6gkdwovsgzh4a"	{"roof_date": null}
